prolific_ID,age,gender,gender2,edu,iq
2254499,28,-0.5,1,5,8
2170881,23,-0.5,1,5,7
2162430,26,-0.5,1,4,10
2195932,23,-0.5,1,4,13
2173290,41,-0.5,1,4,5
2254443,57,0.5,0,5,3
2260095,33,-0.5,1,2,11
2170841,43,-0.5,1,3,6
2173297,28,-0.5,1,2,10
2173310,40,-0.5,1,4,7
2146880,28,-0.5,1,5,15
2155600,24,-0.5,1,4,7
2162424,27,-0.5,1,4,11
2173277,53,-0.5,1,5,6
2162411,38,-0.5,1,3,6
2170839,34,-0.5,1,3,14
2254426,57,-0.5,1,2,6
2148793,51,0.5,0,3,1
2264562,30,-0.5,1,5,10
2199371,33,-0.5,1,5,7
2267214,31,-0.5,1,4,4
2188358,62,-0.5,1,3,13
2188401,30,-0.5,1,5,5
2195922,30,-0.5,1,6,5
2195950,33,-0.5,1,4,9
2188379,32,-0.5,1,4,10
2264532,21,-0.5,1,5,3
2264533,29,-0.5,1,6,4
2264534,23,-0.5,1,5,10
2188364,29,-0.5,1,5,9
2155611,24,0.5,0,5,8
2264527,59,0.5,0,1,10
2170875,67,0.5,0,5,NaN
2170835,25,-0.5,1,5,14
2173279,31,-0.5,1,3,9
2260071,27,-0.5,1,3,8
2264545,69,0.5,0,2,5
2196063,26,-0.5,1,3,5
2181952,26,-0.5,1,3,7
2175400,29,-0.5,1,3,6
