prolific_ID,age,gender,gender2,edu,iq
2559820,28,-0.5,1,4,9
2546356,37,-0.5,1,4,11
2544085,26,-0.5,1,4,3
2542911,20,-0.5,1,4,2
2543049,49,-0.5,1,4,12
2543632,50,-0.5,1,4,10
2544025,37,-0.5,1,5,14
2544283,44,0.5,0,4,11
2544554,27,-0.5,1,4,NaN
2544794,45,-0.5,1,4,8
2545996,26,-0.5,1,4,6
2546100,24,-0.5,1,4,13
2546398,29,-0.5,1,4,14
2547172,49,-0.5,1,2,6
2548009,43,0.5,0,4,NaN
2548021,38,-0.5,1,4,11
2548704,42,-0.5,1,4,1
2548760,52,-0.5,1,4,9
2550471,41,-0.5,1,4,9
2553760,41,-0.5,1,4,NaN
2556209,42,-0.5,1,4,12
2558826,65,-0.5,1,4,10
2562520,46,-0.5,1,4,9
2563035,38,-0.5,1,4,9
2564903,34,-0.5,1,4,7
2584074,35,-0.5,1,4,10
2602429,39,-0.5,1,4,9
2603198,41,-0.5,1,4,1
2607716,26,-0.5,1,4,NaN
2613754,33,-0.5,1,4,8
2628393,25,0.5,0,4,11
2629156,46,-0.5,1,4,10
2637733,44,-0.5,1,4,11
2658741,26,-0.5,1,4,11
2690790,31,-0.5,1,4,12
2704398,29,-0.5,1,4,10
2706111,58,-0.5,1,4,8
2750291,26,-0.5,1,4,13
2753645,41,-0.5,1,4,5
2789421,42,-0.5,1,4,NaN
