Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-oh6h,Randomise questionnaire elements?,Question Key,Response
1,1607121842967,04/12/2020 22:44:02,1607121841286,0,04/12/2020 22:44:01,27169,8,questionnaire-fo3n,,8346692,BLIND,2544554,,complete,qinirq,,tablet,Samsung SM-T820,Android 9,Chrome 86.0.4240.198,1024x768,1024x648,,final screen,5,Meta-first,No,BEGIN QUESTIONNAIRE,
2,1607121848312,04/12/2020 22:44:08,1607121846728,0,04/12/2020 22:44:06,27169,8,questionnaire-fo3n,,8346692,BLIND,2544554,,complete,qinirq,,tablet,Samsung SM-T820,Android 9,Chrome 86.0.4240.198,1024x768,1024x648,,final screen,5,Meta-first,No,response-2,
3,1607121848390,04/12/2020 22:44:08,1607121846732,0,04/12/2020 22:44:06,27169,8,questionnaire-fo3n,,8346692,BLIND,2544554,,complete,qinirq,,tablet,Samsung SM-T820,Android 9,Chrome 86.0.4240.198,1024x768,1024x648,,final screen,5,Meta-first,No,END QUESTIONNAIRE,5446
1,1607171953000,05/12/2020 12:39:13,1607171955158,0,05/12/2020 12:39:15,27169,8,questionnaire-fo3n,,8351534,BLIND,2545996,,complete,diptaw,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,,final screen,5,Meta-first,No,BEGIN QUESTIONNAIRE,
2,1607171967562,05/12/2020 12:39:27,1607171969760,0,05/12/2020 12:39:29,27169,8,questionnaire-fo3n,,8351534,BLIND,2545996,,complete,diptaw,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,,final screen,5,Meta-first,No,response-2,
3,1607171967671,05/12/2020 12:39:27,1607171969763,0,05/12/2020 12:39:29,27169,8,questionnaire-fo3n,,8351534,BLIND,2545996,,complete,diptaw,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,,final screen,5,Meta-first,No,END QUESTIONNAIRE,14606
1,1607429699020,08/12/2020 12:14:59,1607429698955,0,08/12/2020 12:14:58,27169,8,questionnaire-fo3n,,8420208,BLIND,2562508,,complete,bozpir,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 83.0,1440x900,1280x682,,final screen,5,Meta-first,No,BEGIN QUESTIONNAIRE,
2,1607429808142,08/12/2020 12:16:48,1607429808102,0,08/12/2020 12:16:48,27169,8,questionnaire-fo3n,,8420208,BLIND,2562508,,complete,bozpir,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 83.0,1440x900,1280x682,,final screen,5,Meta-first,No,response-2,"In some of the questions with sentences my answers were more nuanced than the options given. 

Thank you for the work you are doing. I hope my data has been helpful. I have Aspergers.

GL with the data and getting the paper published!"
3,1607429808267,08/12/2020 12:16:48,1607429808105,0,08/12/2020 12:16:48,27169,8,questionnaire-fo3n,,8420208,BLIND,2562508,,complete,bozpir,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 83.0,1440x900,1280x682,,final screen,5,Meta-first,No,END QUESTIONNAIRE,109150
1,1608048637459,15/12/2020 16:10:37,1608048637352,0,15/12/2020 16:10:37,27169,8,questionnaire-fo3n,,8652963,BLIND,2629156,,complete,cqyhhl,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1600x900,1600x789,,final screen,5,Meta-first,No,BEGIN QUESTIONNAIRE,
2,1608048641289,15/12/2020 16:10:41,1608048641171,0,15/12/2020 16:10:41,27169,8,questionnaire-fo3n,,8652963,BLIND,2629156,,complete,cqyhhl,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1600x900,1600x789,,final screen,5,Meta-first,No,response-2,
3,1608048641523,15/12/2020 16:10:41,1608048641173,0,15/12/2020 16:10:41,27169,8,questionnaire-fo3n,,8652963,BLIND,2629156,,complete,cqyhhl,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1600x900,1600x789,,final screen,5,Meta-first,No,END QUESTIONNAIRE,3822
1,1610903209173,17/01/2021 17:06:49,1610903210052,0,17/01/2021 17:06:50,27169,8,questionnaire-fo3n,,9156647,BLIND,2789421,,complete,kbdtzi,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.141,1368x912,1353x752,,final screen,5,Meta-first,No,BEGIN QUESTIONNAIRE,
2,1610903241175,17/01/2021 17:07:21,1610903242115,0,17/01/2021 17:07:22,27169,8,questionnaire-fo3n,,9156647,BLIND,2789421,,complete,kbdtzi,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.141,1368x912,1353x752,,final screen,5,Meta-first,No,response-2,
3,1610903241268,17/01/2021 17:07:21,1610903242117,0,17/01/2021 17:07:22,27169,8,questionnaire-fo3n,,9156647,BLIND,2789421,,complete,kbdtzi,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.141,1368x912,1353x752,,final screen,5,Meta-first,No,END QUESTIONNAIRE,32065
1,1610453155032,12/01/2021 12:05:55,1610453154840,0,12/01/2021 12:05:54,27169,8,questionnaire-fo3n,,9048610,BLIND,2753645,,complete,pwbnxz,,computer,Desktop or Laptop,Windows 10,Firefox 84.0,1920x1080,1704x949,,final screen,5,Menta-first,No,BEGIN QUESTIONNAIRE,
2,1610453159190,12/01/2021 12:05:59,1610453159061,0,12/01/2021 12:05:59,27169,8,questionnaire-fo3n,,9048610,BLIND,2753645,,complete,pwbnxz,,computer,Desktop or Laptop,Windows 10,Firefox 84.0,1920x1080,1704x949,,final screen,5,Menta-first,No,response-2,
3,1610453159268,12/01/2021 12:05:59,1610453159062,0,12/01/2021 12:05:59,27169,8,questionnaire-fo3n,,9048610,BLIND,2753645,,complete,pwbnxz,,computer,Desktop or Laptop,Windows 10,Firefox 84.0,1920x1080,1704x949,,final screen,5,Menta-first,No,END QUESTIONNAIRE,4222
