Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-oh6h,Randomise questionnaire elements?,Question Key,Response
1,1604840952539,08/11/2020 13:09:12,1604840952431,0,08/11/2020 13:09:12,12022,43,questionnaire-n1sw,,7648724,BLIND,2267193,,complete,duzpgo,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 82.0,1440x900,1440x798,,welcome 2nd task,3,Menta-first,No,BEGIN QUESTIONNAIRE,
2,1604840956473,08/11/2020 13:09:16,1604840956428,0,08/11/2020 13:09:16,12022,43,questionnaire-n1sw,,7648724,BLIND,2267193,,complete,duzpgo,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 82.0,1440x900,1440x798,,welcome 2nd task,3,Menta-first,No,END QUESTIONNAIRE,3998
1,1604840969021,08/11/2020 13:09:29,1604840969666,2,08/11/2020 15:09:29,12022,43,questionnaire-n1sw,,7648726,BLIND,2267191,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,2560x1440,1929x1112,,welcome 2nd task,3,Menta-first,No,BEGIN QUESTIONNAIRE,
2,1604840971275,08/11/2020 13:09:31,1604840971974,2,08/11/2020 15:09:31,12022,43,questionnaire-n1sw,,7648726,BLIND,2267191,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,2560x1440,1929x1112,,welcome 2nd task,3,Menta-first,No,END QUESTIONNAIRE,2308
1,1604841105559,08/11/2020 13:11:45,1604841105637,-5,08/11/2020 08:11:45,12022,43,questionnaire-n1sw,,7648751,BLIND,2267207,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1368x912,1368x770,,welcome 2nd task,3,Menta-first,No,BEGIN QUESTIONNAIRE,
2,1604841110256,08/11/2020 13:11:50,1604841109273,-5,08/11/2020 08:11:49,12022,43,questionnaire-n1sw,,7648751,BLIND,2267207,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1368x912,1368x770,,welcome 2nd task,3,Menta-first,No,END QUESTIONNAIRE,3636
1,1604841148411,08/11/2020 13:12:28,1604841148526,2,08/11/2020 15:12:28,12022,43,questionnaire-n1sw,,7648757,BLIND,2267211,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1024x768,937x648,,welcome 2nd task,3,Menta-first,No,BEGIN QUESTIONNAIRE,
2,1604841151082,08/11/2020 13:12:31,1604841151248,2,08/11/2020 15:12:31,12022,43,questionnaire-n1sw,,7648757,BLIND,2267211,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1024x768,937x648,,welcome 2nd task,3,Menta-first,No,END QUESTIONNAIRE,2722
1,1604841156895,08/11/2020 13:12:36,1604841157127,1,08/11/2020 14:12:37,12022,43,questionnaire-n1sw,,7648759,BLIND,2267194,,complete,tzkmmg,,computer,Desktop or Laptop,Windows 10,Firefox 82.0,1920x1080,1920x938,,welcome 2nd task,3,Menta-first,No,BEGIN QUESTIONNAIRE,
2,1604841158270,08/11/2020 13:12:38,1604841158511,1,08/11/2020 14:12:38,12022,43,questionnaire-n1sw,,7648759,BLIND,2267194,,complete,tzkmmg,,computer,Desktop or Laptop,Windows 10,Firefox 82.0,1920x1080,1920x938,,welcome 2nd task,3,Menta-first,No,END QUESTIONNAIRE,1384
1,1604841239117,08/11/2020 13:13:59,1604841217425,1,08/11/2020 14:13:37,12022,43,questionnaire-n1sw,,7648771,BLIND,2267204,,live,,,computer,Desktop or Laptop,Windows 8.1,Chrome 86.0.4240.183,1280x720,1280x580,,welcome 2nd task,3,Menta-first,No,BEGIN QUESTIONNAIRE,
2,1604841241398,08/11/2020 13:14:01,1604841219843,1,08/11/2020 14:13:39,12022,43,questionnaire-n1sw,,7648771,BLIND,2267204,,live,,,computer,Desktop or Laptop,Windows 8.1,Chrome 86.0.4240.183,1280x720,1280x580,,welcome 2nd task,3,Menta-first,No,END QUESTIONNAIRE,2418
1,1604841263023,08/11/2020 13:14:23,1604841263800,1,08/11/2020 14:14:23,12022,43,questionnaire-n1sw,,7648773,BLIND,2267197,,complete,fvwojj,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1280x1024,1280x891,,welcome 2nd task,3,Menta-first,No,BEGIN QUESTIONNAIRE,
2,1604841268333,08/11/2020 13:14:28,1604841269193,1,08/11/2020 14:14:29,12022,43,questionnaire-n1sw,,7648773,BLIND,2267197,,complete,fvwojj,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1280x1024,1280x891,,welcome 2nd task,3,Menta-first,No,END QUESTIONNAIRE,5393
1,1604841472033,08/11/2020 13:17:52,1604841479360,0,08/11/2020 13:17:59,12022,43,questionnaire-n1sw,,7648819,BLIND,2267229,,live,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x789,,welcome 2nd task,3,Menta-first,No,BEGIN QUESTIONNAIRE,
2,1604841474321,08/11/2020 13:17:54,1604841481623,0,08/11/2020 13:18:01,12022,43,questionnaire-n1sw,,7648819,BLIND,2267229,,live,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x789,,welcome 2nd task,3,Menta-first,No,END QUESTIONNAIRE,2263
1,1604846238879,08/11/2020 14:37:18,1604846238794,1,08/11/2020 15:37:18,12022,43,questionnaire-n1sw,,7649676,BLIND,2267479,,complete,yaxoxx,,computer,Desktop or Laptop,Linux x86_64,Chrome 86.0.4240.183,1536x864,1536x736,,welcome 2nd task,3,Menta-first,No,BEGIN QUESTIONNAIRE,
2,1604846400764,08/11/2020 14:40:00,1604846400581,1,08/11/2020 15:40:00,12022,43,questionnaire-n1sw,,7649676,BLIND,2267479,,complete,yaxoxx,,computer,Desktop or Laptop,Linux x86_64,Chrome 86.0.4240.183,1536x864,1536x736,,welcome 2nd task,3,Menta-first,No,END QUESTIONNAIRE,161788
1,1604913944038,09/11/2020 09:25:44,1604913943844,1,09/11/2020 10:25:43,12022,43,questionnaire-n1sw,,7663208,BLIND,2270558,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1366x768,1366x625,,welcome 2nd task,3,Menta-first,No,BEGIN QUESTIONNAIRE,
2,1604913947480,09/11/2020 09:25:47,1604913947441,1,09/11/2020 10:25:47,12022,43,questionnaire-n1sw,,7663208,BLIND,2270558,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1366x768,1366x625,,welcome 2nd task,3,Menta-first,No,END QUESTIONNAIRE,3597
1,1604913961303,09/11/2020 09:26:01,1604913961468,0,09/11/2020 09:26:01,12022,43,questionnaire-n1sw,,7663243,BLIND,2270555,,complete,ajqgmy,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1280x720,1280x610,,welcome 2nd task,3,Menta-first,No,BEGIN QUESTIONNAIRE,
2,1604913964129,09/11/2020 09:26:04,1604913964188,0,09/11/2020 09:26:04,12022,43,questionnaire-n1sw,,7663243,BLIND,2270555,,complete,ajqgmy,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1280x720,1280x610,,welcome 2nd task,3,Menta-first,No,END QUESTIONNAIRE,2721
1,1604914021098,09/11/2020 09:27:01,1604914018556,1,09/11/2020 10:26:58,12022,43,questionnaire-n1sw,,7663320,BLIND,2270546,,complete,fmvltc,,computer,Desktop or Laptop,Windows 10,Firefox 82.0,1920x1080,1920x938,,welcome 2nd task,3,Menta-first,No,BEGIN QUESTIONNAIRE,
2,1604914024089,09/11/2020 09:27:04,1604914021591,1,09/11/2020 10:27:01,12022,43,questionnaire-n1sw,,7663320,BLIND,2270546,,complete,fmvltc,,computer,Desktop or Laptop,Windows 10,Firefox 82.0,1920x1080,1920x938,,welcome 2nd task,3,Menta-first,No,END QUESTIONNAIRE,3035
1,1604924403343,09/11/2020 12:20:03,1604924402852,2,09/11/2020 14:20:02,12022,43,questionnaire-n1sw,,7667215,BLIND,2271907,,live,,,computer,Desktop or Laptop,Windows 10,Firefox 82.0,1920x1080,1920x948,,welcome 2nd task,3,Menta-first,No,BEGIN QUESTIONNAIRE,
2,1604924406954,09/11/2020 12:20:06,1604924406796,2,09/11/2020 14:20:06,12022,43,questionnaire-n1sw,,7667215,BLIND,2271907,,live,,,computer,Desktop or Laptop,Windows 10,Firefox 82.0,1920x1080,1920x948,,welcome 2nd task,3,Menta-first,No,END QUESTIONNAIRE,3944
1,1604924633425,09/11/2020 12:23:53,1604924633051,0,09/11/2020 12:23:53,12022,43,questionnaire-n1sw,,7667340,BLIND,2271947,,complete,nkijar,,computer,Desktop or Laptop,Windows 7,Chrome 86.0.4240.183,1600x900,1600x757,,welcome 2nd task,3,Menta-first,No,BEGIN QUESTIONNAIRE,
2,1604924635056,09/11/2020 12:23:55,1604924634746,0,09/11/2020 12:23:54,12022,43,questionnaire-n1sw,,7667340,BLIND,2271947,,complete,nkijar,,computer,Desktop or Laptop,Windows 7,Chrome 86.0.4240.183,1600x900,1600x757,,welcome 2nd task,3,Menta-first,No,END QUESTIONNAIRE,1696
1,1604929121334,09/11/2020 13:38:41,1604929205239,1,09/11/2020 14:40:05,12022,43,questionnaire-n1sw,,7668990,BLIND,2272520,,live,,,computer,Desktop or Laptop,Windows 8.1,Firefox 82.0,1252x704,1252x600,,welcome 2nd task,3,Menta-first,No,BEGIN QUESTIONNAIRE,
2,1604929124003,09/11/2020 13:38:44,1604929207978,1,09/11/2020 14:40:07,12022,43,questionnaire-n1sw,,7668990,BLIND,2272520,,live,,,computer,Desktop or Laptop,Windows 8.1,Firefox 82.0,1252x704,1252x600,,welcome 2nd task,3,Menta-first,No,END QUESTIONNAIRE,2739
1,1604914974211,09/11/2020 09:42:54,1604914970889,-6,09/11/2020 03:42:50,12022,43,questionnaire-n1sw,,7663994,BLIND,2270617,,live,,,computer,Desktop or Laptop,Windows 10,Firefox 80.0,1708x960,1708x795,,welcome 2nd task,3,Menta-first,No,BEGIN QUESTIONNAIRE,
2,1604914976775,09/11/2020 09:42:56,1604914973493,-6,09/11/2020 03:42:53,12022,43,questionnaire-n1sw,,7663994,BLIND,2270617,,live,,,computer,Desktop or Laptop,Windows 10,Firefox 80.0,1708x960,1708x795,,welcome 2nd task,3,Menta-first,No,END QUESTIONNAIRE,2605
