Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-oh6h,Randomise questionnaire elements?,Question Key,Response
1,1.60328E+12,21/10/2020 12:06,1.60328E+12,1,21/10/2020 13:06,12022,38,questionnaire-pu6t,,7356200,BLIND,2146870,,live,,,computer,Desktop or Laptop,Windows 8.1,Chrome 86.0.4240.75,1920x1080,1920x937,,ICAR,3,Menta-first,No,BEGIN QUESTIONNAIRE,
2,1.60328E+12,21/10/2020 12:12,1.60328E+12,1,21/10/2020 13:12,12022,38,questionnaire-pu6t,,7356200,BLIND,2146870,,live,,,computer,Desktop or Laptop,Windows 8.1,Chrome 86.0.4240.75,1920x1080,1920x937,,ICAR,3,Menta-first,No,VR.4-4,5
3,1.60328E+12,21/10/2020 12:12,1.60328E+12,1,21/10/2020 13:12,12022,38,questionnaire-pu6t,,7356200,BLIND,2146870,,live,,,computer,Desktop or Laptop,Windows 8.1,Chrome 86.0.4240.75,1920x1080,1920x937,,ICAR,3,Menta-first,No,VR.16-4,It's impossible to tell
4,1.60328E+12,21/10/2020 12:12,1.60328E+12,1,21/10/2020 13:12,12022,38,questionnaire-pu6t,,7356200,BLIND,2146870,,live,,,computer,Desktop or Laptop,Windows 8.1,Chrome 86.0.4240.75,1920x1080,1920x937,,ICAR,3,Menta-first,No,VR.17-3,47
5,1.60328E+12,21/10/2020 12:12,1.60328E+12,1,21/10/2020 13:12,12022,38,questionnaire-pu6t,,7356200,BLIND,2146870,,live,,,computer,Desktop or Laptop,Windows 8.1,Chrome 86.0.4240.75,1920x1080,1920x937,,ICAR,3,Menta-first,No,VR.19-2,Monday
6,1.60328E+12,21/10/2020 12:12,1.60328E+12,1,21/10/2020 13:12,12022,38,questionnaire-pu6t,,7356200,BLIND,2146870,,live,,,computer,Desktop or Laptop,Windows 8.1,Chrome 86.0.4240.75,1920x1080,1920x937,,ICAR,3,Menta-first,No,LN.7-5,W
7,1.60328E+12,21/10/2020 12:12,1.60328E+12,1,21/10/2020 13:12,12022,38,questionnaire-pu6t,,7356200,BLIND,2146870,,live,,,computer,Desktop or Laptop,Windows 8.1,Chrome 86.0.4240.75,1920x1080,1920x937,,ICAR,3,Menta-first,No,catch_1-6,X
8,1.60328E+12,21/10/2020 12:12,1.60328E+12,1,21/10/2020 13:12,12022,38,questionnaire-pu6t,,7356200,BLIND,2146870,,live,,,computer,Desktop or Laptop,Windows 8.1,Chrome 86.0.4240.75,1920x1080,1920x937,,ICAR,3,Menta-first,No,LN.33-1,E
9,1.60328E+12,21/10/2020 12:12,1.60328E+12,1,21/10/2020 13:12,12022,38,questionnaire-pu6t,,7356200,BLIND,2146870,,live,,,computer,Desktop or Laptop,Windows 8.1,Chrome 86.0.4240.75,1920x1080,1920x937,,ICAR,3,Menta-first,No,LN.34-3,V
10,1.60328E+12,21/10/2020 12:12,1.60328E+12,1,21/10/2020 13:12,12022,38,questionnaire-pu6t,,7356200,BLIND,2146870,,live,,,computer,Desktop or Laptop,Windows 8.1,Chrome 86.0.4240.75,1920x1080,1920x937,,ICAR,3,Menta-first,No,LN.58-5,M
11,1.60328E+12,21/10/2020 12:12,1.60328E+12,1,21/10/2020 13:12,12022,38,questionnaire-pu6t,,7356200,BLIND,2146870,,live,,,computer,Desktop or Laptop,Windows 8.1,Chrome 86.0.4240.75,1920x1080,1920x937,,ICAR,3,Menta-first,No,MX.45-4,D
12,1.60328E+12,21/10/2020 12:12,1.60328E+12,1,21/10/2020 13:12,12022,38,questionnaire-pu6t,,7356200,BLIND,2146870,,live,,,computer,Desktop or Laptop,Windows 8.1,Chrome 86.0.4240.75,1920x1080,1920x937,,ICAR,3,Menta-first,No,MX.46-6,F
13,1.60328E+12,21/10/2020 12:12,1.60328E+12,1,21/10/2020 13:12,12022,38,questionnaire-pu6t,,7356200,BLIND,2146870,,live,,,computer,Desktop or Laptop,Windows 8.1,Chrome 86.0.4240.75,1920x1080,1920x937,,ICAR,3,Menta-first,No,MX.47-4,D
14,1.60328E+12,21/10/2020 12:12,1.60328E+12,1,21/10/2020 13:12,12022,38,questionnaire-pu6t,,7356200,BLIND,2146870,,live,,,computer,Desktop or Laptop,Windows 8.1,Chrome 86.0.4240.75,1920x1080,1920x937,,ICAR,3,Menta-first,No,MX.55-3,C
15,1.60328E+12,21/10/2020 12:12,1.60328E+12,1,21/10/2020 13:12,12022,38,questionnaire-pu6t,,7356200,BLIND,2146870,,live,,,computer,Desktop or Laptop,Windows 8.1,Chrome 86.0.4240.75,1920x1080,1920x937,,ICAR,3,Menta-first,No,R3D.3-8,H
16,1.60328E+12,21/10/2020 12:12,1.60328E+12,1,21/10/2020 13:12,12022,38,questionnaire-pu6t,,7356200,BLIND,2146870,,live,,,computer,Desktop or Laptop,Windows 8.1,Chrome 86.0.4240.75,1920x1080,1920x937,,ICAR,3,Menta-first,No,R3D.4-8,H
17,1.60328E+12,21/10/2020 12:12,1.60328E+12,1,21/10/2020 13:12,12022,38,questionnaire-pu6t,,7356200,BLIND,2146870,,live,,,computer,Desktop or Laptop,Windows 8.1,Chrome 86.0.4240.75,1920x1080,1920x937,,ICAR,3,Menta-first,No,R3D.6-5,E
18,1.60328E+12,21/10/2020 12:12,1.60328E+12,1,21/10/2020 13:12,12022,38,questionnaire-pu6t,,7356200,BLIND,2146870,,live,,,computer,Desktop or Laptop,Windows 8.1,Chrome 86.0.4240.75,1920x1080,1920x937,,ICAR,3,Menta-first,No,R3D.8-8,H
19,1.60328E+12,21/10/2020 12:12,1.60328E+12,1,21/10/2020 13:12,12022,38,questionnaire-pu6t,,7356200,BLIND,2146870,,live,,,computer,Desktop or Laptop,Windows 8.1,Chrome 86.0.4240.75,1920x1080,1920x937,,ICAR,3,Menta-first,No,END QUESTIONNAIRE,378871
