Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-oh6h,Randomise questionnaire elements?,Question Key,Response
1,1.60381E+12,27/10/2020 14:31,1.60381E+12,0,27/10/2020 14:31,12022,40,questionnaire-ynxa,,7466577,BLIND,2181915,,complete,glihtl,,computer,Desktop or Laptop,Mac OS 10.14,Firefox 81.0,1920x1080,1920x955,,Demographic variables,12,Meta-first,No,BEGIN QUESTIONNAIRE,
2,1.60381E+12,27/10/2020 15:11,1.60381E+12,0,27/10/2020 15:11,12022,40,questionnaire-ynxa,,7466577,BLIND,2181915,,complete,glihtl,,computer,Desktop or Laptop,Mac OS 10.14,Firefox 81.0,2560x1080,1706x915,,Demographic variables,12,Meta-first,No,Gender ,Male
3,1.60381E+12,27/10/2020 15:11,1.60381E+12,0,27/10/2020 15:11,12022,40,questionnaire-ynxa,,7466577,BLIND,2181915,,complete,glihtl,,computer,Desktop or Laptop,Mac OS 10.14,Firefox 81.0,2560x1080,1706x915,,Demographic variables,12,Meta-first,No,Gender -quantised,2
4,1.60381E+12,27/10/2020 15:11,1.60381E+12,0,27/10/2020 15:11,12022,40,questionnaire-ynxa,,7466577,BLIND,2181915,,complete,glihtl,,computer,Desktop or Laptop,Mac OS 10.14,Firefox 81.0,2560x1080,1706x915,,Demographic variables,12,Meta-first,No,education,Master's degree
5,1.60381E+12,27/10/2020 15:11,1.60381E+12,0,27/10/2020 15:11,12022,40,questionnaire-ynxa,,7466577,BLIND,2181915,,complete,glihtl,,computer,Desktop or Laptop,Mac OS 10.14,Firefox 81.0,2560x1080,1706x915,,Demographic variables,12,Meta-first,No,education-quantised,5
6,1.60381E+12,27/10/2020 15:11,1.60381E+12,0,27/10/2020 15:11,12022,40,questionnaire-ynxa,,7466577,BLIND,2181915,,complete,glihtl,,computer,Desktop or Laptop,Mac OS 10.14,Firefox 81.0,2560x1080,1706x915,,Demographic variables,12,Meta-first,No,age,24
7,1.60381E+12,27/10/2020 15:11,1.60381E+12,0,27/10/2020 15:11,12022,40,questionnaire-ynxa,,7466577,BLIND,2181915,,complete,glihtl,,computer,Desktop or Laptop,Mac OS 10.14,Firefox 81.0,2560x1080,1706x915,,Demographic variables,12,Meta-first,No,age-quantised,7
8,1.60381E+12,27/10/2020 15:11,1.60381E+12,0,27/10/2020 15:11,12022,40,questionnaire-ynxa,,7466577,BLIND,2181915,,complete,glihtl,,computer,Desktop or Laptop,Mac OS 10.14,Firefox 81.0,2560x1080,1706x915,,Demographic variables,12,Meta-first,No,prolific ID,5e7bd64eca18002130aa2d8d
9,1.60381E+12,27/10/2020 15:11,1.60381E+12,0,27/10/2020 15:11,12022,40,questionnaire-ynxa,,7466577,BLIND,2181915,,complete,glihtl,,computer,Desktop or Laptop,Mac OS 10.14,Firefox 81.0,2560x1080,1706x915,,Demographic variables,12,Meta-first,No,END QUESTIONNAIRE,2391863
1,1.60381E+12,27/10/2020 14:32,1.60381E+12,0,27/10/2020 14:32,12022,40,questionnaire-ynxa,,7466594,BLIND,2181918,,complete,rabffj,,computer,Desktop or Laptop,Mac OS 10.9,Firefox 78.0,1280x800,1280x603,,Demographic variables,12,Menta-first,No,BEGIN QUESTIONNAIRE,
