Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-oh6h,Randomise questionnaire elements?,Question Key,Response
1,1607111993436,04/12/2020 19:59:53,1607111987581,0,04/12/2020 19:59:47,27169,8,questionnaire-dmpw,,8344315,BLIND,2544085,,complete,nrrqwy,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1360x768,1360x656,,consent ,1,Menta-first,No,BEGIN QUESTIONNAIRE,
2,1607112002581,04/12/2020 20:00:02,1607111996755,0,04/12/2020 19:59:56,27169,8,questionnaire-dmpw,,8344315,BLIND,2544085,,complete,nrrqwy,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1360x768,1343x656,,consent ,1,Menta-first,No,consent,1
3,1607112002690,04/12/2020 20:00:02,1607111996757,0,04/12/2020 19:59:56,27169,8,questionnaire-dmpw,,8344315,BLIND,2544085,,complete,nrrqwy,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1360x768,1343x656,,consent ,1,Menta-first,No,END QUESTIONNAIRE,9176
1,1607114108958,04/12/2020 20:35:08,1607114108867,0,04/12/2020 20:35:08,27169,8,questionnaire-dmpw,,8345004,BLIND,2544283,,complete,huymye,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x937,,consent ,1,Meta-first,No,BEGIN QUESTIONNAIRE,
2,1607114110693,04/12/2020 20:35:10,1607114110666,0,04/12/2020 20:35:10,27169,8,questionnaire-dmpw,,8345004,BLIND,2544283,,complete,huymye,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x937,,consent ,1,Meta-first,No,consent,1
3,1607114110756,04/12/2020 20:35:10,1607114110668,0,04/12/2020 20:35:10,27169,8,questionnaire-dmpw,,8345004,BLIND,2544283,,complete,huymye,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x937,,consent ,1,Meta-first,No,END QUESTIONNAIRE,1802
1,1607118651036,04/12/2020 21:50:51,1607118649395,0,04/12/2020 21:50:49,27169,8,questionnaire-dmpw,,8346035,BLIND,2544554,,complete,qinirq,,tablet,Samsung SM-T820,Android 9,Chrome 86.0.4240.198,768x1024,768x904,,consent ,1,Meta-first,No,BEGIN QUESTIONNAIRE,
2,1607118654742,04/12/2020 21:50:54,1607118653159,0,04/12/2020 21:50:53,27169,8,questionnaire-dmpw,,8346035,BLIND,2544554,,complete,qinirq,,tablet,Samsung SM-T820,Android 9,Chrome 86.0.4240.198,768x1024,768x904,,consent ,1,Meta-first,No,consent,1
3,1607118654851,04/12/2020 21:50:54,1607118653164,0,04/12/2020 21:50:53,27169,8,questionnaire-dmpw,,8346035,BLIND,2544554,,complete,qinirq,,tablet,Samsung SM-T820,Android 9,Chrome 86.0.4240.198,768x1024,768x904,,consent ,1,Meta-first,No,END QUESTIONNAIRE,3769
1,1607123310435,04/12/2020 23:08:30,1607123310296,0,04/12/2020 23:08:30,27169,8,questionnaire-dmpw,,8347014,BLIND,2544794,,complete,tfxynd,,computer,Desktop or Laptop,Mac OS 10.14,Firefox 83.0,1440x900,1280x693,,consent ,1,Menta-first,No,BEGIN QUESTIONNAIRE,
