Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-oh6h,Randomise questionnaire elements?,Question Key,Response
1,1603984617600,29/10/2020 15:16:57,1603984617950,0,29/10/2020 15:16:57,12022,41,questionnaire-46na,,7509824,BLIND,2195934,,complete,qhpmim,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1280x720,1280x616,,final screen,11,Menta-first,No,BEGIN QUESTIONNAIRE,
2,1603984635740,29/10/2020 15:17:15,1603984636115,0,29/10/2020 15:17:16,12022,41,questionnaire-46na,,7509824,BLIND,2195934,,complete,qhpmim,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1280x720,1280x616,,final screen,11,Menta-first,No,BEGIN QUESTIONNAIRE,
3,1603984651264,29/10/2020 15:17:31,1603984651660,0,29/10/2020 15:17:31,12022,41,questionnaire-46na,,7509824,BLIND,2195934,,complete,qhpmim,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1280x720,1280x616,,final screen,11,Menta-first,No,response-2,
4,1603984651326,29/10/2020 15:17:31,1603984651662,0,29/10/2020 15:17:31,12022,41,questionnaire-46na,,7509824,BLIND,2195934,,complete,qhpmim,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1280x720,1280x616,,final screen,11,Menta-first,No,END QUESTIONNAIRE,15547
1,1603984664992,29/10/2020 15:17:44,1603984666382,1,29/10/2020 16:17:46,12022,41,questionnaire-46na,,7509857,BLIND,2195898,,complete,spzomu,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1920x1080,1920x969,,final screen,11,Menta-first,No,BEGIN QUESTIONNAIRE,
2,1603984672995,29/10/2020 15:17:52,1603984674440,1,29/10/2020 16:17:54,12022,41,questionnaire-46na,,7509857,BLIND,2195898,,complete,spzomu,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1920x1080,1920x969,,final screen,11,Menta-first,No,response-2,
3,1603984673089,29/10/2020 15:17:53,1603984674442,1,29/10/2020 16:17:54,12022,41,questionnaire-46na,,7509857,BLIND,2195898,,complete,spzomu,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1920x1080,1920x969,,final screen,11,Menta-first,No,END QUESTIONNAIRE,8060
1,1603984803727,29/10/2020 15:20:03,1603984803966,-4,29/10/2020 11:20:03,12022,41,questionnaire-46na,,7509928,BLIND,2195912,,live,,,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1536x864,1536x750,,final screen,11,Meta-first,No,BEGIN QUESTIONNAIRE,
1,1603984919266,29/10/2020 15:21:59,1603984919522,0,29/10/2020 15:21:59,12022,41,questionnaire-46na,,7509985,BLIND,2195935,,complete,dywaas,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1920x1080,1920x969,,final screen,11,Meta-first,No,BEGIN QUESTIONNAIRE,
2,1603984928459,29/10/2020 15:22:08,1603984928755,0,29/10/2020 15:22:08,12022,41,questionnaire-46na,,7509985,BLIND,2195935,,complete,dywaas,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1920x1080,1920x969,,final screen,11,Meta-first,No,response-2,
3,1603984928536,29/10/2020 15:22:08,1603984928756,0,29/10/2020 15:22:08,12022,41,questionnaire-46na,,7509985,BLIND,2195935,,complete,dywaas,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1920x1080,1920x969,,final screen,11,Meta-first,No,END QUESTIONNAIRE,9234
1,1603984952348,29/10/2020 15:22:32,1603984952262,0,29/10/2020 15:22:32,12022,41,questionnaire-46na,,7509997,BLIND,2195936,,complete,vseigv,,computer,Desktop or Laptop,Mac OS 10.15.6,Chrome 86.0.4240.111,1920x1080,1920x900,,final screen,11,Menta-first,No,BEGIN QUESTIONNAIRE,
2,1603984982942,29/10/2020 15:23:02,1603984982864,0,29/10/2020 15:23:02,12022,41,questionnaire-46na,,7509997,BLIND,2195936,,complete,vseigv,,computer,Desktop or Laptop,Mac OS 10.15.6,Chrome 86.0.4240.111,1920x1080,1920x900,,final screen,11,Menta-first,No,response-2,
3,1603984983005,29/10/2020 15:23:03,1603984982865,0,29/10/2020 15:23:02,12022,41,questionnaire-46na,,7509997,BLIND,2195936,,complete,vseigv,,computer,Desktop or Laptop,Mac OS 10.15.6,Chrome 86.0.4240.111,1920x1080,1920x900,,final screen,11,Menta-first,No,END QUESTIONNAIRE,30603
1,1603984961791,29/10/2020 15:22:41,1603984904439,1,29/10/2020 16:21:44,12022,41,questionnaire-46na,,7510001,BLIND,2195966,,complete,horkgx,,computer,Desktop or Laptop,Windows 10,Firefox 82.0,3200x1800,3200x1798,,final screen,11,Meta-first,No,BEGIN QUESTIONNAIRE,
2,1603985010017,29/10/2020 15:23:30,1603984952710,1,29/10/2020 16:22:32,12022,41,questionnaire-46na,,7510001,BLIND,2195966,,complete,horkgx,,computer,Desktop or Laptop,Windows 10,Firefox 82.0,3200x1800,3200x1610,,final screen,11,Meta-first,No,response-2,
3,1603985010126,29/10/2020 15:23:30,1603984952712,1,29/10/2020 16:22:32,12022,41,questionnaire-46na,,7510001,BLIND,2195966,,complete,horkgx,,computer,Desktop or Laptop,Windows 10,Firefox 82.0,3200x1800,3200x1610,,final screen,11,Meta-first,No,END QUESTIONNAIRE,48273
