Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-oh6h,Randomise questionnaire elements?,Question Key,Response
1,1604844619988,08/11/2020 14:10:19,1604844619826,1,08/11/2020 15:10:19,12022,43,questionnaire-er13,,7649390,BLIND,2267470,,complete,mmlfdb,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1920x1080,1920x969,,consent_form,1,Meta-first,No,BEGIN QUESTIONNAIRE,
2,1604844655754,08/11/2020 14:10:55,1604844655695,1,08/11/2020 15:10:55,12022,43,questionnaire-er13,,7649390,BLIND,2267470,,complete,mmlfdb,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1920x1080,1903x969,,consent_form,1,Meta-first,No,consent,1
3,1604844655832,08/11/2020 14:10:55,1604844655698,1,08/11/2020 15:10:55,12022,43,questionnaire-er13,,7649390,BLIND,2267470,,complete,mmlfdb,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1920x1080,1903x969,,consent_form,1,Meta-first,No,END QUESTIONNAIRE,35872
1,1604913151104,09/11/2020 09:12:31,1604913151353,1,09/11/2020 10:12:31,12022,43,questionnaire-er13,,7661989,BLIND,2270540,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1536x864,1536x722,,consent_form,1,Meta-first,No,BEGIN QUESTIONNAIRE,
2,1604913198081,09/11/2020 09:13:18,1604913198352,1,09/11/2020 10:13:18,12022,43,questionnaire-er13,,7661989,BLIND,2270540,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1536x864,1519x722,,consent_form,1,Meta-first,No,consent,1
3,1604913198314,09/11/2020 09:13:18,1604913198354,1,09/11/2020 10:13:18,12022,43,questionnaire-er13,,7661989,BLIND,2270540,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1536x864,1519x722,,consent_form,1,Meta-first,No,END QUESTIONNAIRE,47001
1,1604913166035,09/11/2020 09:12:46,1604913168578,1,09/11/2020 10:12:48,12022,43,questionnaire-er13,,7662036,BLIND,2270552,,complete,vlbsiq,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1600x900,1600x767,,consent_form,1,Menta-first,No,BEGIN QUESTIONNAIRE,
2,1604913221795,09/11/2020 09:13:41,1604913223711,1,09/11/2020 10:13:43,12022,43,questionnaire-er13,,7662036,BLIND,2270552,,complete,vlbsiq,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1600x900,1583x767,,consent_form,1,Menta-first,No,consent,1
3,1604913221889,09/11/2020 09:13:41,1604913223715,1,09/11/2020 10:13:43,12022,43,questionnaire-er13,,7662036,BLIND,2270552,,complete,vlbsiq,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1600x900,1583x767,,consent_form,1,Menta-first,No,END QUESTIONNAIRE,55136
1,1604923605791,09/11/2020 12:06:45,1604923605584,2,09/11/2020 14:06:45,12022,43,questionnaire-er13,,7666867,BLIND,2271907,,live,,,computer,Desktop or Laptop,Windows 10,Firefox 82.0,1920x1080,1920x948,,consent_form,1,Menta-first,No,BEGIN QUESTIONNAIRE,
2,1604923637021,09/11/2020 12:07:17,1604923636845,2,09/11/2020 14:07:16,12022,43,questionnaire-er13,,7666867,BLIND,2271907,,live,,,computer,Desktop or Laptop,Windows 10,Firefox 82.0,1920x1080,1903x948,,consent_form,1,Menta-first,No,consent,1
3,1604923637194,09/11/2020 12:07:17,1604923636848,2,09/11/2020 14:07:16,12022,43,questionnaire-er13,,7666867,BLIND,2271907,,live,,,computer,Desktop or Laptop,Windows 10,Firefox 82.0,1920x1080,1903x948,,consent_form,1,Menta-first,No,END QUESTIONNAIRE,31264
1,1604923902417,09/11/2020 12:11:42,1604923902563,0,09/11/2020 12:11:42,12022,43,questionnaire-er13,,7666972,BLIND,2271944,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1366x768,681x657,,consent_form,1,Meta-first,No,BEGIN QUESTIONNAIRE,
2,1604923911686,09/11/2020 12:11:51,1604923911830,0,09/11/2020 12:11:51,12022,43,questionnaire-er13,,7666972,BLIND,2271944,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1366x768,664x657,,consent_form,1,Meta-first,No,consent,1
3,1604923911763,09/11/2020 12:11:51,1604923911831,0,09/11/2020 12:11:51,12022,43,questionnaire-er13,,7666972,BLIND,2271944,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1366x768,664x657,,consent_form,1,Meta-first,No,END QUESTIONNAIRE,9268
1,1604923916828,09/11/2020 12:11:56,1604923916499,0,09/11/2020 12:11:56,12022,43,questionnaire-er13,,7666981,BLIND,2271947,,complete,nkijar,,computer,Desktop or Laptop,Windows 7,Chrome 86.0.4240.183,1600x900,1600x757,,consent_form,1,Menta-first,No,BEGIN QUESTIONNAIRE,
2,1604923957324,09/11/2020 12:12:37,1604923957064,0,09/11/2020 12:12:37,12022,43,questionnaire-er13,,7666981,BLIND,2271947,,complete,nkijar,,computer,Desktop or Laptop,Windows 7,Chrome 86.0.4240.183,1600x900,1583x757,,consent_form,1,Menta-first,No,consent,1
3,1604923957449,09/11/2020 12:12:37,1604923957069,0,09/11/2020 12:12:37,12022,43,questionnaire-er13,,7666981,BLIND,2271947,,complete,nkijar,,computer,Desktop or Laptop,Windows 7,Chrome 86.0.4240.183,1600x900,1583x757,,consent_form,1,Menta-first,No,END QUESTIONNAIRE,40570
1,1604928288765,09/11/2020 13:24:48,1604928372658,1,09/11/2020 14:26:12,12022,43,questionnaire-er13,,7668710,BLIND,2272520,,live,,,computer,Desktop or Laptop,Windows 8.1,Firefox 82.0,1252x704,1252x600,,consent_form,1,Menta-first,No,BEGIN QUESTIONNAIRE,
2,1604928342104,09/11/2020 13:25:42,1604928426027,1,09/11/2020 14:27:06,12022,43,questionnaire-er13,,7668710,BLIND,2272520,,live,,,computer,Desktop or Laptop,Windows 8.1,Firefox 82.0,1252x704,1237x600,,consent_form,1,Menta-first,No,consent,1
3,1604928342307,09/11/2020 13:25:42,1604928426035,1,09/11/2020 14:27:06,12022,43,questionnaire-er13,,7668710,BLIND,2272520,,live,,,computer,Desktop or Laptop,Windows 8.1,Firefox 82.0,1252x704,1237x600,,consent_form,1,Menta-first,No,END QUESTIONNAIRE,53377
1,1604840155951,08/11/2020 12:55:55,1604840156582,2,08/11/2020 14:55:56,12022,43,questionnaire-er13,,7648584,BLIND,2267191,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,2560x1440,1931x1113,,consent_form,1,Menta-first,No,BEGIN QUESTIONNAIRE,
2,1604840183715,08/11/2020 12:56:23,1604840184407,2,08/11/2020 14:56:24,12022,43,questionnaire-er13,,7648584,BLIND,2267191,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,2560x1440,1929x1112,,consent_form,1,Menta-first,No,consent,1
3,1604840183950,08/11/2020 12:56:23,1604840184408,2,08/11/2020 14:56:24,12022,43,questionnaire-er13,,7648584,BLIND,2267191,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,2560x1440,1929x1112,,consent_form,1,Menta-first,No,END QUESTIONNAIRE,27826
1,1604840161407,08/11/2020 12:56:01,1604840161303,0,08/11/2020 12:56:01,12022,43,questionnaire-er13,,7648586,BLIND,2267193,,complete,duzpgo,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 82.0,1440x900,1440x798,,consent_form,1,Menta-first,No,BEGIN QUESTIONNAIRE,
2,1604840182167,08/11/2020 12:56:22,1604840182127,0,08/11/2020 12:56:22,12022,43,questionnaire-er13,,7648586,BLIND,2267193,,complete,duzpgo,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 82.0,1440x900,1425x798,,consent_form,1,Menta-first,No,consent,1
3,1604840182262,08/11/2020 12:56:22,1604840182131,0,08/11/2020 12:56:22,12022,43,questionnaire-er13,,7648586,BLIND,2267193,,complete,duzpgo,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 82.0,1440x900,1425x798,,consent_form,1,Menta-first,No,END QUESTIONNAIRE,20828
1,1604840168327,08/11/2020 12:56:08,1604840168544,1,08/11/2020 13:56:08,12022,43,questionnaire-er13,,7648587,BLIND,2267194,,complete,tzkmmg,,computer,Desktop or Laptop,Windows 10,Firefox 82.0,1920x1080,1920x938,,consent_form,1,Menta-first,No,BEGIN QUESTIONNAIRE,
2,1604840183966,08/11/2020 12:56:23,1604840184226,1,08/11/2020 13:56:24,12022,43,questionnaire-er13,,7648587,BLIND,2267194,,complete,tzkmmg,,computer,Desktop or Laptop,Windows 10,Firefox 82.0,1920x1080,1903x938,,consent_form,1,Menta-first,No,consent,1
3,1604840184122,08/11/2020 12:56:24,1604840184228,1,08/11/2020 13:56:24,12022,43,questionnaire-er13,,7648587,BLIND,2267194,,complete,tzkmmg,,computer,Desktop or Laptop,Windows 10,Firefox 82.0,1920x1080,1903x938,,consent_form,1,Menta-first,No,END QUESTIONNAIRE,15684
1,1604840188564,08/11/2020 12:56:28,1604840189334,1,08/11/2020 13:56:29,12022,43,questionnaire-er13,,7648594,BLIND,2267197,,complete,fvwojj,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1280x1024,1280x891,,consent_form,1,Menta-first,No,BEGIN QUESTIONNAIRE,
2,1604840374484,08/11/2020 12:59:34,1604840375326,1,08/11/2020 13:59:35,12022,43,questionnaire-er13,,7648594,BLIND,2267197,,complete,fvwojj,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1280x1024,1263x891,,consent_form,1,Menta-first,No,consent,1
